claim_id,metric,unit,actual,expected_min,expected_max,pass
C-001,r_s_km,km,29.5333938,29,30,true
C-002,flux_0p10_au_mw_m2,MW/m^2,0.1361,0.13,0.15,true
C-002,flux_0p05_au_mw_m2,MW/m^2,0.5444,0.53,0.56,true
C-003,vinf_baseline_min_km_s,km/s,23.1690476,23,24,true
C-003,vinf_baseline_max_km_s,km/s,33.7527715,33,34.5,true
C-004,vinf_conditional_min_km_s,km/s,35.2255736,35,36,true
C-004,vinf_conditional_max_km_s,km/s,45.3154825,45,46,true
C-005,delta_v_1000_au_min_m_s,m/s,0.233133122,0.22,0.26,true
C-005,delta_v_1000_au_max_m_s,m/s,0.456130021,0.44,0.47,true
C-005,delta_v_100_au_min_m_s,m/s,0.0233133122,0.022,0.026,true
C-005,delta_v_100_au_max_m_s,m/s,0.0456130021,0.044,0.047,true
C-006,tof_baseline_min_myr,Myr,13.7551834,13,14.5,true
C-006,tof_baseline_max_myr,Myr,20.3337493,20,20.8,true
C-006,tof_conditional_min_myr,Myr,10.3928052,10,11,true
C-006,tof_conditional_max_myr,Myr,13.3621781,13,13.8,true
C-007,rtg_fraction_10y,fraction,0.924006506,0.9,0.95,true
C-007,rtg_fraction_50y,fraction,0.673558227,0.65,0.7,true
C-007,rtg_fraction_half_life,fraction,0.5,0.49,0.51,true
C-007,rtg_fraction_1000y,fraction,0.000369405111,0,0.001,true
C-009,archive_cost_anchor_usd,USD,100000000,100000000,100000000,true
C-009,flagship_cost_anchor_usd,USD,1e+09,1e+09,1e+09,true
C-009,cost_anchor_ratio,x,10,10,10,true
